model_id	model_name	model_developer	intended_use	code_publicly_available	formatted_results_publicly_available	source_documentation	geographic_resolution_US_state	geographic_resolution_country
1	IHME COVID-19 Model	University of Washington Institute for Health Metrics and Evaluation	"determine the extent and timing of deaths and excess demand for hospital services due to COVID-19 in the US, both for the entire US and by state"	FALSE	TRUE	https://www.medrxiv.org/content/10.1101/2020.03.27.20043752v1.full.pdf	TRUE	TRUE
2	Neher COVID-19 Scenarios	"Neher Lab, University of Basil"	planning tool for COVID-19 outbreaks in communities across the world	TRUE	TRUE	https://covid19-scenarios.org/	FALSE	TRUE
3	CHIME	Penn Medicine Predictive Healthcare Team	assist hospitals and public health officials in understanding hospital capacity needs as they relate to the COVID-19 pandemic	TRUE	TRUE	https://code-for-philly.gitbook.io/chime/	TRUE	TRUE
4	Stanford COVID-19 Intervention Model	Stanford University	evaluate possible outcomes of non-pharmaceutical interventions such as social distancing	TRUE	TRUE	https://covid-measures.github.io/	TRUE	TRUE
5	Harvard Global Health Institute Model	Harvard Global Health Institute	"give hospital leaders and policy makers a clear sense of when they will hit capacity, and strategic information on how to prepare for rising numbers of patients with COVID-19 needing care"	FALSE	TRUE	https://globalepidemics.org/our-data/hospital-capacity/#data	TRUE	TRUE
6	COVID Act Now US Intervention Model	covidactnow.org	help decision makers understand when and how COVID will affect their communities in order to make better decisions that save lives	TRUE	FALSE	https://covidactnow.org/faq	TRUE	TRUE
12	"Imperial College London COVID-19 short term forecast, model 1"	Imperial College London	 produce forecasts of the number of deaths in the week ahead for each country with active transmission	FALSE	TRUE	https://sangeetabhatia03.github.io/covid19-short-term-forecasts/index.html	FALSE	TRUE
13	"Imperial College London COVID-19 short term forecasts, model 2"	Imperial College London	 produce forecasts of the number of deaths in the week ahead for each country with active transmission	FALSE	TRUE	https://sangeetabhatia03.github.io/covid19-short-term-forecasts/index.html	FALSE	TRUE
14	"Imperial College London COVID-19 short term forecasts, model 3"	Imperial College London	 produce forecasts of the number of deaths in the week ahead for each country with active transmission	FALSE	TRUE	https://sangeetabhatia03.github.io/covid19-short-term-forecasts/index.html	FALSE	TRUE
15	"Imperial College London COVID-19 short term forecasts, ensemble"	Imperial College London	 produce forecasts of the number of deaths in the week ahead for each country with active transmission	FALSE	TRUE	https://sangeetabhatia03.github.io/covid19-short-term-forecasts/index.html	FALSE	TRUE
8	Colorado COVID-19 Modeling Group Model	Colorado COVID-19 Modeling Group 	project the impacts of social distancing interventions that were implemented in Colorado in March	FALSE	FALSE	https://drive.google.com/file/d/19ST3tRnntUGV3h7YI0tQHJDnCoL5dRE7/view	TRUE	FALSE
9	Shaman Lab Model	"Shaman Lab, Columbia University"	"project daily hospital demand, at the county level, in the United States"	FALSE	TRUE	https://github.com/shaman-lab/COVID-19Projection	TRUE	FALSE
10	GLEAM	"Multiple institutions, including Northeastern University, Fred Hutchinson Cancer Research Center, University of Florida, NIH Fogarty Center, ISI Foundation, and Bruno Kessler Foundation"	"generate an ensemble of possible epidemic projections described by the number of newly generated infections, times of disease arrival in different regions, and the number of traveling infection carriers"	FALSE	FALSE	https://uploads-ssl.webflow.com/58e6558acc00ee8e4536c1f5/5e8bab44f5baae4c1c2a75d2_GLEAM_web.pdf	TRUE	FALSE
11	epiforecasts.io	"London School of Hygiene & Tropical Medicine, Centre for Mathematical Modeling of Infectious Diseases"	"identify changes in the reproduction number, rate of spread, and doubling time during the course of the COVID-19 outbreak at the national and subnational level whilst accounting for potential biases due to delays in case reporting"	TRUE	FALSE	https://epiforecasts.io/covid/methods.html#code-and-data-availability	FALSE	TRUE
